Pizza,Cost,Description,Calories
Margherita,£8.60,"Mozzarella cheese, tomato, oregano",765kcal
Napoletana,£9.00,"Cheese, tomato, anchovies, oregano, garlic",874kcal
Diavola,£8.70,"Cheese, tomato, pepperoni, chilli, salami, onions",1023kcal
Vegetariana,£8.90,"Mushrooms, peppers, onion, spinach, asparagus",654kcal
Prosciutto,£7.90,"Mozzarella cheese, tomato and ham",765kcal
Capri,£9.10,"Cheese, tomato, olives, anchovies, garlic, capers",874kcal
Funghi,£9.40,"Mozzarella cheese, tomato and mushrooms",567kcal
Quattro Stagioni,£8.38,"Cheese, tomato, mushrooms, artichokes, ham",765kcal
Sorrento,£9.00,"Mozzarella cheese, tomato, ham and pineapple",876kcal
Meridiana,£9.70,"Cheese, tomato, ham, mushrooms and chicken",798kcal
